ImageNumber,ObjectNumber,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Intensity_MedianIntensity_CDX2,Intensity_MedianIntensity_CK20,Intensity_MedianIntensity_CK7,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_Ki67,Intensity_MedianIntensity_PanCK
1,1,88,311,58,303,47,0.07450980693101883,0.07450980693101883,0.003921568859368563,0.40392157435417175,0.0,0.0
1,2,64,70,86,62,78,0.272549033164978,0.003921568859368563,0.0,0.43921568989753723,0.0,0.0
1,3,156,424,130,412,117,0.34117650985717773,0.005882353289052844,0.0,0.40784311294555664,0.0,0.0
1,4,42,412,133,405,127,0.24901960790157318,0.027450978755950928,0.0,0.4568627327680588,0.0,0.0
1,5,72,254,152,245,144,0.42352941632270813,0.0,0.003921568859368563,0.4215686321258545,0.0,0.0
1,6,84,1395,273,1388,261,0.2823529541492462,0.0,0.0,0.43921566009521484,0.0,0.0
1,7,130,1073,291,1063,278,0.3450980484485626,0.0,0.0,0.43529412150382996,0.4274509847164154,0.0
1,8,77,1701,300,1690,293,0.37254902720451355,0.0,0.0,0.4313725531101227,0.0,0.0117647061124444
1,9,56,337,309,329,302,0.32156863808631897,0.0,0.0,0.3745098114013672,0.0,0.0019607844296842813
1,10,72,1064,311,1052,305,0.35686275362968445,0.0,0.0,0.42352941632270813,0.0,0.0
1,11,72,1693,314,1685,305,0.35098040103912354,0.045098038390278816,0.0,0.40392155945301056,0.045098040252923965,0.03529411926865578
1,12,105,244,322,237,307,0.27450981736183167,0.0,0.0,0.36666668951511383,0.0,0.0
1,13,48,614,324,606,318,0.34117650985717773,0.0,0.0,0.3921568691730499,0.0,0.07058823853731155
1,14,221,1197,330,1180,317,0.28823530673980713,0.0,0.0,0.4313725531101227,0.0,0.0
1,15,156,1511,330,1499,317,0.3490195870399475,0.003921568859368563,0.03921568766236305,0.4862745404243469,0.0,0.0
1,16,64,1368,329,1360,321,0.4156862795352936,0.0627450980246067,0.0,0.47843137383461,0.0,0.0019607844296842813
1,17,80,270,330,260,322,0.3921568691730499,0.003921568859368563,0.0,0.4588235020637512,0.0,0.0
1,18,72,608,332,600,323,0.3372548818588257,0.250980406999588,0.0,0.4941176176071167,0.0,0.027450978755950928
1,19,72,1199,337,1190,329,0.2862745225429535,0.0,0.0,0.35686275362968445,0.0,0.003921568859368563
1,20,150,1691,348,1676,338,0.34117650985717773,0.003921568859368563,0.0,0.43921566009521484,0.04313725605607033,0.0
1,21,56,685,350,678,342,0.3647058755159378,0.0,0.0,0.3960784375667572,0.2705882489681244,0.0
1,22,90,1463,351,1453,342,0.2549019753932953,0.0,0.0,0.41960784792900085,0.3588235229253769,0.0
1,23,56,1672,356,1665,348,0.31960783898830414,0.0,0.0,0.4333333373069763,0.427450954914093,0.0313725508749485
1,24,30,1665,360,1659,355,0.3333333432674408,0.027450978755950928,0.0,0.3960784375667572,0.35686275362968445,0.0784313753247261
1,25,77,1468,365,1457,358,0.40784311294555664,0.239215686917305,0.0,0.45098036527633667,0.2666666805744171,0.0
1,26,56,1232,374,1225,366,0.3490196317434311,0.03333333507180214,0.005882353289052844,0.4431372582912445,0.0,0.027450978755950928
1,27,90,1660,372,1650,363,0.36078429222106934,0.0,0.0,0.4431372433900833,0.0,0.003921568859368563
1,28,81,1655,382,1646,373,0.3921568691730499,0.0,0.0,0.48235295712947845,0.0,0.0
1,29,208,1230,392,1214,379,0.39411765336990356,0.0,0.0,0.5137255191802979,0.0,0.0
1,30,56,1330,398,1323,390,0.26274511218070984,0.0,0.0,0.3588235229253769,0.3078431338071823,0.0
1,31,120,1523,399,1513,387,0.2862745225429535,0.0,0.0,0.45490196347236633,0.32156863808631897,0.0
1,32,70,1451,411,1444,401,0.3705882430076599,0.06078431382775307,0.003921568859368563,0.4784313440322876,0.0,0.029411764815449715
1,33,180,1644,429,1632,414,0.36666668951511383,0.0,0.0,0.4019607901573181,0.05686274170875549,0.0
1,34,182,590,428,577,414,0.34117650985717773,0.0,0.0,0.4745097756385803,0.3333333432674408,0.0
1,35,88,1228,429,1220,418,0.40392157435417175,0.0,0.0,0.427450954914093,0.0,0.0
1,36,154,1034,430,1020,419,0.3647059202194214,0.0,0.0,0.41960784792900085,0.0,0.0
1,37,80,1632,441,1622,433,0.36078429222106934,0.06666667014360428,0.03921568766236305,0.4313725382089615,0.0,0.07254902273416519
1,38,315,555,453,540,432,0.0,0.0,0.0,0.5960784554481506,0.0,0.0
1,39,30,1627,445,1622,439,0.32156865298748016,0.19215687364339828,0.05098038911819458,0.3843137323856354,0.0,0.22745098918676376
1,40,30,541,447,535,442,0.3960784375667572,0.3921568691730499,0.46666666865348816,0.46666666865348816,0.0,0.38823530077934265
1,41,49,1492,451,1485,444,0.35294121503829956,0.0,0.0,0.41960784792900085,0.32549020648002625,0.03529411926865578
1,42,36,1080,452,1074,446,0.37843137979507446,0.0,0.02156862849369645,0.4372548907995224,0.003921568859368563,0.0
1,43,90,558,455,549,445,0.0,0.0,0.0,0.6941176652908325,0.0,0.0
1,44,63,1389,455,1380,448,0.3745098114013672,0.0,0.0,0.38235294818878174,0.0,0.003921568859368563
1,45,72,559,460,551,451,0.0,0.0,0.0,0.6941176652908325,0.0,0.0
1,46,45,543,461,534,456,0.427450954914093,0.43529412150382996,0.6235293745994568,0.5843137502670288,0.06666667014360428,0.08235295116901398
1,47,54,440,468,434,459,0.2450980395078659,0.06666667014360428,0.03333333507180214,0.5274510085582733,0.0,0.0
1,48,70,1480,468,1473,458,0.3431372791528702,0.05098039098083973,0.0,0.4862745404243469,0.3960784375667572,0.0
